Year,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Eastern Africa,83.4,85.7,88.0,90.5,93.0,95.7,98.4,101.2,104.2,107.2,110.4,113.6,116.8,120.2,123.7,127.3,131.0,134.6,138.5,142.7,146.7,151.0,155.8,160.5,165.3,170.3,175.5,180.9,186.2,191.5,197.0,202.6,208.1,213.8,218.9,224.3,231.2,238.1,244.7,251.4,258.5,265.7,273.2,281.1,289.2,297.4,305.9,314.8,323.9,333.1,342.7,352.5,362.5,372.8,383.0,393.3,404.1,414.9,425.9,437.5,449.3,461.1
Central Africa,32.4,33.1,33.8,34.6,35.4,36.2,37.0,37.9,38.8,39.7,40.8,41.8,42.9,44.1,45.3,46.5,47.7,48.9,50.3,51.9,53.3,54.8,56.4,58.1,59.7,61.5,63.4,65.4,67.4,69.6,71.8,74.2,76.6,79.0,82.0,85.1,87.3,89.3,91.8,94.5,97.4,100.4,103.4,106.7,110.1,113.6,117.3,121.2,125.1,129.3,133.6,138.1,142.7,147.4,152.4,157.4,162.7,168.1,173.5,179.0,184.6,190.3
Northern Africa,64.2,65.8,67.4,69.0,70.7,72.5,74.3,76.2,78.2,80.2,82.2,84.2,86.3,88.5,90.8,93.5,96.4,99.3,102.2,105.3,108.5,111.8,115.3,118.7,122.0,125.3,128.7,131.9,135.0,138.1,141.2,144.3,147.4,150.4,153.6,156.8,159.9,163.0,166.1,169.2,172.3,175.5,178.7,181.9,185.2,188.6,192.0,195.7,199.4,203.2,207.1,210.7,214.5,218.9,223.6,228.4,233.1,237.8,242.5,247.0,251.4,255.7
Southern Africa,18.7,19.2,19.8,20.4,21.0,21.7,22.3,23.0,23.7,24.4,25.2,25.9,26.7,27.5,28.3,29.1,29.9,30.8,31.6,32.5,33.4,34.3,35.2,36.1,37.2,38.3,39.6,41.0,42.4,43.9,45.2,46.4,47.4,48.3,49.2,50.0,50.8,51.6,52.2,52.8,53.4,53.9,54.4,54.9,55.4,55.9,56.5,57.0,57.7,58.4,59.1,59.9,60.7,61.5,62.5,63.7,64.4,64.7,65.6,66.4,67.3,68.0
Western Africa,85.6,87.4,89.3,91.3,93.3,95.4,97.6,99.8,102.1,104.5,106.9,109.5,112.2,115.0,118.0,121.2,124.6,128.1,131.8,135.6,139.6,143.7,147.9,151.9,155.9,160.2,164.5,168.9,173.5,178.2,182.8,187.5,192.5,197.6,202.7,208.1,213.5,219.2,225.1,231.2,237.4,244.0,250.8,257.8,264.9,272.3,280.0,287.8,295.9,304.1,312.7,321.5,330.5,339.6,348.9,358.3,367.9,377.8,387.7,397.8,408.1,418.5
Caribbean,21.0,21.4,21.8,22.3,22.8,23.2,23.7,24.1,24.6,25.0,25.5,26.0,26.4,26.9,27.3,27.7,28.2,28.6,29.0,29.4,29.7,30.1,30.6,31.0,31.4,31.9,32.3,32.8,33.2,33.7,34.2,34.6,35.1,35.5,36.0,36.4,36.8,37.2,37.6,37.9,38.3,38.7,39.0,39.3,39.6,39.9,40.2,40.5,40.8,41.1,41.4,41.7,42.0,42.2,42.5,42.8,43.0,43.2,43.5,43.7,44.0,44.2
Central America,49.6,51.2,52.8,54.5,56.3,58.2,60.1,62.0,64.0,66.0,68.1,70.2,72.3,74.5,76.8,79.0,81.3,83.7,86.1,88.5,90.8,92.9,94.9,96.9,98.9,101.0,103.0,105.0,107.0,109.0,111.2,113.6,116.0,118.3,120.7,123.1,125.4,127.8,130.1,132.3,134.6,136.8,139.0,141.2,143.4,145.5,147.6,149.7,151.8,153.9,156.1,158.4,160.7,162.9,165.1,167.2,169.2,171.3,173.1,174.8,176.3,177.7
South America,149.2,153.4,157.6,161.9,166.3,170.7,175.1,179.6,184.0,188.5,192.9,197.5,202.0,206.7,211.5,216.3,221.1,226.1,231.2,236.5,241.8,247.2,252.7,258.2,263.8,269.3,274.9,280.4,286.0,291.6,297.1,302.6,308.0,313.3,318.6,323.9,329.2,334.4,339.6,344.7,349.6,354.5,359.2,363.7,368.1,372.5,376.8,381.0,385.0,389.0,393.1,397.1,401.2,405.1,409.1,413.1,417.1,421.0,424.7,428.3,431.5,434.3
North America,194.2,197.4,200.6,203.7,206.7,209.5,212.0,214.3,216.6,219.0,221.9,224.9,227.6,229.9,232.2,234.5,236.8,239.3,242.0,244.8,247.8,250.6,253.2,255.9,258.5,261.1,263.7,266.4,269.2,272.3,275.9,279.7,283.6,287.6,291.4,295.1,298.7,302.4,306.1,309.7,313.2,316.6,319.8,322.9,326.0,329.2,332.4,335.7,339.0,342.2,345.3,348.3,351.5,354.6,357.6,360.5,363.4,366.5,369.3,372.0,374.0,375.3
Eastern Asia,801.4,804.9,816.6,838.4,861.7,883.6,905.3,926.0,948.2,972.1,996.0,1 019.6,1 042.2,1 063.9,1 084.5,1 102.9,1 119.6,1 135.1,1 149.9,1 165.1,1 181.2,1 198.1,1 216.4,1 234.2,1 251.1,1 269.0,1 288.4,1 309.3,1 330.1,1 350.4,1 371.2,1 389.6,1 404.0,1 417.2,1 429.8,1 441.8,1 453.0,1 463.6,1 473.7,1 483.3,1 492.9,1 502.4,1 511.4,1 520.2,1 528.8,1 537.5,1 546.2,1 555.2,1 564.3,1 573.8,1 583.3,1 592.7,1 602.8,1 612.9,1 622.6,1 631.7,1 640.3,1 648.8,1 655.7,1 660.4,1 663.2,1 663.7
Central Southern Asia,616.2,631.3,646.8,662.7,679.0,695.4,711.8,728.4,745.7,763.4,781.3,798.7,816.5,835.9,855.7,875.9,896.2,917.2,938.8,961.1,984.2,1 008.3,1 033.0,1 058.4,1 084.4,1 110.9,1 137.6,1 164.6,1 192.0,1 219.8,1 248.1,1 276.4,1 304.5,1 332.3,1 359.9,1 387.9,1 415.6,1 443.4,1 471.4,1 499.8,1 528.4,1 557.5,1 586.6,1 615.1,1 643.3,1 670.7,1 697.2,1 722.6,1 747.7,1 773.4,1 799.5,1 825.9,1 851.7,1 876.9,1 901.8,1 926.3,1 950.5,1 974.7,1 998.5,2 021.6,2 044.3,2 065.4
Eastern Southern Asia,215.6,221.5,227.6,234.0,240.5,246.8,253.0,259.5,266.3,273.1,280.1,287.2,294.4,301.7,309.0,316.2,323.3,330.8,338.6,346.6,354.7,363.1,371.6,380.3,389.0,397.7,406.3,414.9,423.5,432.1,440.7,449.4,458.2,467.0,475.6,484.1,492.6,501.1,509.5,517.6,525.4,533.0,540.5,547.9,555.2,562.5,569.8,577.4,584.9,592.3,599.8,607.3,614.8,622.3,629.5,636.6,643.8,650.7,657.4,663.9,670.2,675.8
Western Asia,66.4,68.2,70.2,72.3,74.3,76.4,78.6,80.9,83.3,85.7,88.1,90.6,93.1,95.7,98.4,101.0,104.1,107.4,110.1,112.8,115.9,119.0,122.3,125.7,129.4,133.0,136.7,140.5,144.3,148.2,151.3,154.5,158.6,162.6,166.7,170.4,174.2,178.0,181.7,185.5,189.3,193.2,197.1,201.1,205.1,209.8,215.1,220.9,227.0,233.0,238.6,243.8,249.0,254.4,259.7,264.8,269.6,274.1,278.5,283.1,286.6,289.7
Eastern Europe,253.5,256.8,259.7,262.3,264.8,266.9,268.9,270.8,272.6,274.3,275.9,277.5,279.4,281.3,283.3,285.4,287.5,289.5,291.3,293.1,294.7,296.3,297.8,299.5,301.3,302.9,304.6,306.4,307.9,309.2,310.1,310.8,311.2,311.3,310.8,309.9,308.9,307.8,306.8,305.7,304.6,303.3,301.9,300.5,299.1,297.9,296.7,295.9,295.3,295.0,294.7,294.4,294.3,294.3,294.2,294.2,294.2,294.2,293.9,293.6,292.8,291.5
Northern Europe,82.1,82.6,83.1,83.7,84.3,84.9,85.5,86.0,86.6,87.0,87.4,87.8,88.3,88.6,88.9,89.2,89.3,89.5,89.7,89.8,90.1,90.3,90.5,90.7,90.9,91.1,91.3,91.5,91.7,91.9,92.2,92.4,92.7,92.9,93.1,93.3,93.5,93.7,93.9,94.2,94.4,94.7,95.1,95.4,95.9,96.4,97.0,97.6,98.3,99.0,99.6,100.3,101.0,101.7,102.3,103.0,103.6,104.2,104.8,105.4,105.8,106.2
Southern Europe,118.0,118.9,119.9,120.9,122.0,123.1,124.1,125.1,126.0,126.9,127.7,128.7,129.8,131.0,132.3,133.5,134.7,135.8,136.9,137.9,138.9,139.8,140.5,141.0,141.5,142.0,142.4,142.8,143.1,143.4,143.7,143.9,144.0,144.0,144.2,144.5,145.0,145.5,145.7,145.7,145.9,146.2,146.9,147.9,149.0,150.0,150.9,151.9,153.0,153.6,153.9,154.1,154.1,153.9,153.5,153.2,152.9,152.8,152.7,152.7,152.5,152.1
Western Europe,152.1,153.4,154.9,156.4,157.9,159.4,160.8,162.2,163.4,164.5,165.5,166.4,167.3,167.9,168.4,168.7,168.9,169.0,169.3,169.5,169.7,170.1,170.5,170.8,171.2,171.6,172.2,172.9,173.7,174.6,175.5,176.5,177.4,178.2,178.9,179.5,180.1,180.6,181.1,181.6,182.1,182.6,183.1,183.6,184.1,184.7,185.3,185.9,186.6,187.3,188.0,188.7,189.5,190.2,190.9,191.7,192.5,193.3,193.9,194.6,195.1,195.4
Oceania,15.9,16.2,16.6,16.9,17.2,17.6,18.0,18.3,18.7,19.0,19.5,20.0,20.5,20.9,21.2,21.5,21.8,22.1,22.4,22.6,22.9,23.3,23.6,24.0,24.4,24.7,25.1,25.5,25.9,26.3,26.7,27.2,27.6,28.0,28.5,28.9,29.4,29.8,30.3,30.8,31.2,31.7,32.2,32.8,33.3,33.8,34.4,35.0,35.7,36.4,37.1,37.7,38.4,39.1,39.7,40.4,41.1,41.8,42.5,43.3,43.9,44.5
World,3 019.2,3 068.4,3 126.7,3 195.8,3 267.2,3 337.1,3 406.4,3 475.4,3 546.8,3 620.7,3 695.4,3 770.2,3 844.8,3 920.3,3 995.5,4 069.4,4 142.5,4 215.8,4 289.7,4 365.6,4 444.0,4 524.6,4 608.0,4 691.9,4 775.8,4 861.7,4 950.1,5 041.0,5 132.3,5 223.7,5 316.2,5 406.2,5 492.7,5 577.4,5 660.7,5 743.2,5 825.1,5 906.5,5 987.3,6 067.8,6 148.9,6 230.7,6 312.4,6 393.9,6 475.8,6 558.2,6 641.4,6 725.9,6 811.6,6 898.3,6 985.6,7 073.1,7 161.7,7 250.6,7 339.0,7 426.6,7 513.5,7 599.8,7 683.8,7 765.0,7 841.0,7 909.3